game,performance,driver,emulator,update,notes,date added,device
Stacklands,Perfect,Qualcomm 0.746.0,Sudachi,1.4.0.2,I beat the Demon Lord but have not played the expansion stuff yet. It plays perfectly but turn the fan on because the system starts getting hot the larger your board gets. ,2025/4/1,Retroid Pocket 5
Stalker: Call Of Prypiat,Great,GPU 0.746.0 Qualcomm,Sudachi,1,,2025/08/22,Retroid Pocket 5
Stalker: Shadow Of Chernobyl,Great,Turnip 24.3.0 9v2,Sudachi,1,,2025/08/22,Retroid Pocket 5
Star Ocean: First Departure R,Perfect,Qualcomm 0.746.0,Citron,1,Crashes during the first battle when using Turnips. Works flawlessly with standard. I have played about 20 minutes. ,2024/12/25,Retroid Pocket 5
Star Ocean: The Second Story R,Perfect,Turnip 24.3.0 9v2,Sudachi,Latest,Crashes occasionally (after around an hour of straight gameplay) for seemingly no reason. Game autosaves enough that it's not a real issue.,2025/1/28,Retroid Pocket 5
Star Ocean: The Second Story R,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1 + DLC,"Stable 30FPS in docked mode, cubeb audio engine, RP5 on standard performance mode",2025/1/26,Retroid Pocket 5
Star Of Providence,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 60 FPS Docked ,2025/4/5,Retroid Pocket 5
Star Overdrive,Unplayable,Qualcomm 0.746.0,Citron,1.0.7,"Cutscenes load fine, but there is constant texture flickering during gameplay.",2025/07/05,Retroid Pocket 5
Star Wars - Knights Of The Old Republic,Great,Turnip 24.3.0 9v2,Yuzu,Base or Update 1.0.1,Seemed to work great. Only played into the main story a couple minutes,2025/2/20,Retroid Pocket 5
Star Wars - Knights Of The Old Republic II,Great,Turnip 24.3.0 9v2,Yuzu,1.0.2 ,Seems to run great. Played through the first bit of the game.,2025/2/20,Retroid Pocket 5
Star Wars The Force Unleashed ,Playable,Turnip 24.3.0 9v2,Yuzu,1,"The game launches and runs fine, but the pause menu options are transparent once you get into the game, making it quite difficult to navigate. Could play, if you're determined or desperate. ",2025/3/8,Retroid Pocket 5
Star Wars: Dark Forces,Perfect,Turnip 25.2.0 R4,Yuzu,1,,2024/12/14,Retroid Pocket 5
Stardew Valley,Perfect,Qualcomm 0.746.0,Citron,1.5.4.2,"Citron is back in development!
60 FPS
Settings:
Docked 1x Res.
Force Maximum Clocks and Use Asynchronous Shaders On
Everything Else Default.",2025/1/18,Retroid Pocket 5
Stardew Valley,Perfect,Qualcomm 0.746.0,Citron,1.6.9.37,Perfect 60 fps,2024/12/29,Retroid Pocket 5
Stardew Valley,Playable,Turnip 24.3.0 9v2,Yuzu,1,,2024/12/14,Retroid Pocket 5
Stardew Valley,Playable,Turnip 24.3.0 9v2,Sudachi,1,,2024/12/14,Retroid Pocket 5
Stardew Valley,Playable,Turnip 24.3.0 9v2,Yuzu,1.5.4.2,Controls are very painstakingly hard to go through,2024/12/12,Retroid Pocket 5
Steamworld Build,Playable,Turnip 24.3.0 9v2,Sudachi,1,,2024/12/14,Retroid Pocket 5
Steamworld Dig,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.12.0,"Yuzu 278 (dc529a89a)
Default parameters",2025/1/23,Retroid Pocket 5
Steamworld Heist II,Playable,Turnip 24.3.0 9v2,Sudachi,1,,2024/12/14,Retroid Pocket 5
Steamworld Heist Ii,Perfect,Qualcomm 0.746.0,Sudachi,1.2,,2025/08/16,Retroid Pocket 5
Steins Gate: My Darlings Embrace,Perfect,Turnip 24.3.0 9v2,Citron,1,60fps,2025/2/22,Retroid Pocket 5
Steins;Gate Elite,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2E,Perfect 60fps docked,2025/1/9,Retroid Pocket 5
Stella Of The End,Perfect,Qualcomm 0.746.0,Sudachi,1,It just works,2024/12/19,Retroid Pocket 5
Story Of Seasons: Friends Of Mineral Town,Perfect,Turnip 25.2.0 R11,Sudachi,1.1.7,Looks amazing too,2025/07/05,Retroid Pocket 5
Story Of Seasons: Pioneers Of Olive Town,Great,Turnip 24.3.0 9v2,Sudachi,Newest game update and newest update of Sudachi,"The newest sudachi update resolved issues with crashing. Using the 4gb of swap memory as well. It runs pretty consistently from 50-60fps. I normally run it on performance mode, but high performance gives it a couple extra frames per second.",2025/1/30,Retroid Pocket 5
Stranger Things,Perfect,Turnip 24.3.0 9v2,Yuzu,1,works great. would not load on standard driver. Only tried Yuzu.,2025/3/7,Retroid Pocket 5
Stray,Playable,Turnip 24.3.0 9v2,Sudachi,1,"Handheld mode, resolution 0.75, CPU backend to dynamic slow. Some crashes and slowdown, but most of it runs at 29fps",2024/12/17,Retroid Pocket 5
Stray,Playable,Turnip 24.3.0 9v2,Eden,1,"25-35 fps at 0.75 resolution, crashes every now and then, but no problem due to the checkpoints",2025/08/17,Retroid Pocket 5
Stray,Perfect,Mesa Turnip Driver v25.3.0-R1,Citron,1.6.0,"Handheld mode, resolution 0.75x. No crash anymore.",2025/08/18,Retroid Pocket 5
Stray,Perfect,Turnip 25.0.0 R5,Eden,1,,2025/08/24,Retroid Pocket 5
Streets Of Rage 4,Perfect,Qualcomm 805,Citron,1.0.9,Tried default and Turnip but it glitches and you miss the “story ideos” found the latest Qualcomm fixes that. ,2025/3/9,Retroid Pocket 5
Streets Of Rage 4,Perfect,Qualcomm 0.746.0,Sudachi,1.0.9,60 fps - Works perfectly with default settings,2025/1/24,Retroid Pocket 5
Streets Of Rogue,Perfect,Turnip 24.3.0 9v2,Sudachi,1,Perfect. I played 1 playthrough with soldier and got to the last floor without any problem. ,2025/3/13,Retroid Pocket 5
Strike Suit Zero,Playable,Turnip 24.3.0 9v2,Sudachi,1,Start in handheld then switch to docked,2024/12/14,Retroid Pocket 5
Subnautica,Perfect,Turnip 24.3.0 9v2,Yuzu,1.21.71113,"Stable 30 fps in performance mode handheld 1x res
",2025/5/16,Retroid Pocket 5
Subnautica,Perfect,Turnip 24.3.0 9v2,Yuzu,1.21.71113,Stable 30fps in docked mode,2025/1/11,Retroid Pocket 5
Suika Game,Perfect,Qualcomm 0.746.0,Yuzu,1,"Runs perfect 60FPS, even with default driver. Performance mode",2024/12/20,Retroid Pocket 5
Suika Game,Perfect,Turnip 24.3.0 9v2,Yuzu,1,,2024/12/13,Retroid Pocket 5
Suikoden I &amp; Ii Hd Remaster: Gate Rune And Dunan Unification Wars,Unplayable,Turnip 24.3.0 9v2,Yuzu,1,Game hits a black screen once you enter Kyaro Town in Suikoden II.,2025/06/30,Retroid Pocket 5
Super Bomberman R,Perfect,Turnip 24.1.0 R18,Citron,1,,2025/2/1,Retroid Pocket 5
Super Bomberman R 2,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.1,,2024/12/13,Retroid Pocket 5
Super Lone Survivor,Perfect,Turnip 24.3.0 9v2,Citron,1,Seems to run perfectly,2025/1/24,Retroid Pocket 5
Super Mario 3d All Stars,Perfect,Qualcomm 0.746.0,Sudachi,1,Works flawlessly with a consistent 60 fps.,2025/07/18,Retroid Pocket 5
Super Mario 3D All Stars,Unplayable,Qualcomm 0.746.0 ,Yuzu,1.1.1,"Yuzu not playable with either Qualcomm 0.746.0 or Mesa Turnip 25.0.0 R5 (low fps and sound cracks). Not playable with Sudachi AT ALL, game crashes with Qualcomm 0.746.0 + ulkan 1.4.303",2025/1/30,Retroid Pocket 5
Super Mario 3d All Stars,Playable,Qualcomm 0.746.0,Yuzu,1,,2025/09/05,Retroid Pocket 5
Super Mario 3D World + Bowser's Fury,Perfect,Turnip 24.3.0 9v2,Citron,1.1.0,"Citron is back in development!
Settings:
Docked 45 - 50 FPS, Handheld 60 FPS 1x Res.
Force Maximum Clocks and Use Asynchronous Shaders On
If Audio Is Stuttering/Crackling Change Output To cubeb
Everything Else Default.",2025/1/18,Retroid Pocket 5
Super Mario 3D World + Bowser's Fury,Perfect,Turnip 24.3.0 9v2,Suyu,1.1.0,Handheld mode,2024/12/23,Retroid Pocket 5
Super Mario 3D World + Bowser's Fury,Perfect,Turnip 24.3.0 9v2,Yuzu,1,,2024/12/13,Retroid Pocket 5
Super Mario Bros. Wonder,Playable,Turnip 24.3.0 9v2,Citron,1.01 + FPS mod,"Citron 0.5 + Turnip 9v2 or 24.1.0 R18 fix

The game will freeze and restart the device at times, sometimes even corrupting the save games or configuration of the emulator. Much less issues now with Citron 0.5 but perhaps 7 levels are still problematic.

Consider using Syncthing to save your game progress elsewhere and remove some of the frustration. 

If the issue with restart occurs, change CPU + Graphics accuracy to high, revert to default qualcomm driver and disable shader cache. Finish the level and revert config.",2025/3/21,Retroid Pocket 5
Super Mario Bros. Wonder,Great,BioSensor MK2,Yuzu,1,"Tested on standard performance (RP5), ery tiny slowdowns, Build d590cfb9d, firmware 18.1.0 (same for prod/keys), handheld mode, 1x resolution, disk cache on, basically all on default. It was the only emu and driver combination that didn't crashed and rebooted the RP5/reset the emu after a second load, qualcomm drivers worked (didn't reboot on second load) but was slow and gave graphic glitches. Same config on other ersions of yuzu, sudachi or citron, reboots the device. Decreasing the resolution, putting RP5 on high performance, or activating ""force maximum clocks"" might make it perfect. Update 1.0.1 doesn't load the game, black screen.",2025/2/17,Retroid Pocket 5
Super Mario Bros. Wonder,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,"This setup stopped the issue where loading an existing save would hard crash the RP5 (two users confirmed.)

Citron builds e2808ec and c718cc2 work (other ersions might work too.)

Change audio engine to cubeb to stop stuttering.

Undocked performance is 60fps, docked hovers around ~50fps.

Optional fps stabilizing mod acquired here: https://github.com/theboy181/switch-ptchtxt-mods/blob/main/Super%20Mario%20Bros.%20Wonder/%5B010015100B514000%5D/v1.0.0/Stabilize%20FPS.rar",2025/1/1,Retroid Pocket 5
Super Mario Bros. Wonder,Perfect,Turnip 23.2.0,Yuzu,1,Use Turnip 23.2.0-devel to prevent crashes with shader cache enabled and Stabilize FPS mod from https://github.com/theboy181/switch-ptchtxt-mods/tree/main/Super%20Mario%20Bros.%20Wonder/%5B010015100B514000%5D/v1.0.0 to improve performance.,2024/12/23,Retroid Pocket 5
Super Mario Bros. Wonder,Great,Qualcomm 0.746.0,Yuzu,1,Emulator Uzuy Edge 0.0.5-13,2024/12/13,Retroid Pocket 5
Super Mario Bros. Wonder,Great,Turnip 24.3.0 9v2,Yuzu,1,,2024/12/13,Retroid Pocket 5
Super Mario Bros. Wonder,Great,Turnip 24.3.0 9v2,Yuzu,1,skip animations to avoid crashes,2024/12/13,Retroid Pocket 5
Super Mario Maker 2,Perfect,Turnip 24.3.0 9v2,Yuzu,3.0.3,"Consistent 60FPS! Had some rare audio crackling but this was fixed by switching audio engine to cubeb. Shame the app doesn't support online, because Open Course World would have been good for this. ",2024/12/15,Retroid Pocket 5
Super Mario Odyssey,Great,Turnip 24.3.0 9v2,Yuzu,1,"You can beat the game, but here are some issues that I found:
1. Seaside Kingdoms boss will crash the game due to lag
2. Wooden Kingdom S Spewart  fight has the same fate, but other Spewart fights (luncheon) seem to be A-OK
3. Cutscene music WILL GET CHOPPY
4. USE 0.75",2025/1/19,Retroid Pocket 5
Super Mario Odyssey,Great,Turnip 24.3.0 9v2,Citron,1.0.3,"Very Playable, use .75 resolution, plays at 60 fps to high 50s unless ery zoomed out at a large zone. Then fps drops to mid 40s. Overall a great play!",2025/1/18,Retroid Pocket 5
Super Mario Odyssey,Great,Turnip 24.3.0 9v2,Sudachi,1.3.0,"Almost perfect, above 50 FPS, ery few micro stutters",2024/12/19,Retroid Pocket 5
Super Mario Odyssey,Perfect,Turnip 25.2.0 R11,Eden,1,"Limitar porcentaje emulación: 85% 

Docked mode = On

Resolution: 0,5x

Vsync = Off 

Two hous playing without problems",2025/07/25,Retroid Pocket 5
Super Mario Party Jamboree,Unplayable,Turnip 24.3.0 9v2,Sudachi,1,Crashed during loading screen with both eden and sudachi,2025/06/16,Retroid Pocket 5
Super Mario Party Jamboree,Great,Qualcomm 0.746.0,Sudachi,1,,2025/09/06,Retroid Pocket 5
Super Mario RPG,Perfect,Qualcomm 0.746.0,Citron,1.0.1,"Citron is back in development!
30-60 FPS
Settings:
Docked 1x Res.(Might Have More Stable Performance On Handheld)
Force Maximum Clocks and Use Asynchronous Shaders On
If Audio Is Stuttering/Crackling Change Output To cubeb
Everything Else Default.",2025/1/18,Retroid Pocket 5
Super Mario RPG,Great,Qualcomm 0.746.0,Yuzu,1,"If your audio is crackling, change audio setting to 'oboe' instead of 'Auto'. Only minor graphical issues happen when opening the item quick menu or saving progress (thumbnails), but nothing game-breaking. Smooth 60FPS on Performance mode.",2024/12/19,Retroid Pocket 5
Super Mario RPG,Great,Qualcomm 0.746.0,Yuzu,1,Crashes after the Main menu on the Turnips I tested (9v2 / 25.0.0 rev3). Might sometimes dip to 40/50fps,2024/12/13,Retroid Pocket 5
Super Mario Wonder,Great,Turnip 24.3.0 9v2,Yuzu,1,"Almost perfect, weird graphical glitches in overworld ",2024/12/16,Retroid Pocket 5
Super Meat Boy,Perfect,Qualcomm 0.746.0,Yuzu,1,Work perfectly with default settings,2025/2/12,Retroid Pocket 5
Super Monkey Ball Banana Rumble,Great,Qualcomm 0.746.0,Suyu,2,"Accuracy level = HIGH, or else menus will crash a lot. Undocked stays around 50-60fps and dropping to ~40 with certain menus on screen. Docked mode isn’t recommended; gameplay performance drops to about ~30fps.",2024/12/22,Retroid Pocket 5
Super Monkey Ball Banana Rumble,Playable,Qualcomm 0.746.0,Suyu,2,"Game has plenty of freezes when interacting with certain menus which can be strangely overcome by swiping up into the recent apps iew and then immediately returning to the game. Sometimes you have to do this consistently to make it through a menu. Once you're in a stage there's only rare freezes which can be fixed with the aforementioned trick. When not frozen, the game has solid 60fps in singleplayer. Must use stock driver as Turnip (9v2) crashes when trying to load any 3D content.",2024/12/15,Retroid Pocket 5
Super Monkey Ball Banana Rumble,Great,Qualcomm 0.746.0,Sudachi,2,60 FPS,2025/08/16,Retroid Pocket 5
Super Robot Wars,Perfect,Qualcomm 0.746.0,Sudachi,1,,2025/5/16,Retroid Pocket 5
Super Smash Bros Ultimate,Perfect,Qualcomm 819.1,Yuzu,1,,2025/06/11,Retroid Pocket 5
Super Smash Bros Ultimate,Perfect,Turnip 25.2.0 R7,Yuzu,1,,2025/06/11,Retroid Pocket 5
Super Smash Bros Ultimate,Perfect,Qualcomm 682,Yuzu,1,"Disk shader cache enabled
Force maximum clocks enabled
Use asynchronous shaders enabled
(light stutters but gameplay is 60 fps)",2025/1/4,Retroid Pocket 5
Super Smash Bros Ultimate,Great,Turnip 25.3.0-R1,Sudachi,1,,2025/08/22,Retroid Pocket 5
Super Smash Bros Ultimate,Perfect,Turnip 24.3.0 9v2,Yuzu,1,,2025/09/03,Retroid Pocket 5
Super Woden GP 2,Unplayable,Turnip 24.3.0 9v2,Sudachi,1.0.5,Does not boot,2024/12/23,Retroid Pocket 5
Superhot,Great,Turnip 24.3.0 9v2,Yuzu,1,Emulator Uzuy Edge 0.0.5-13,2024/12/13,Retroid Pocket 5
Supermariobros.u.delux,Perfect,Turnip 24.3.0 9v2,Eden,1.0.2,,2025/09/11,Retroid Pocket 5
Sword Of The Vagrant,Unplayable,Turnip 24.3.0 9v2,Citron,1,"Not playable on Sudachi, or Yuzu either",2025/06/13,Retroid Pocket 5
Symphonia,Perfect,Qualcomm 0.746.0,Citron,1,,2025/3/16,Retroid Pocket 5
Tactics Ogre Reborn,Perfect,Turnip 24.3.0 9v2,Citron,1,Runs between 29 and 30 FPS perfectly.,2024/12/21,Retroid Pocket 5
Tales Of Vesperia,Playable,Turnip 24.3.0 9v2,Sudachi,1.0.2,"Force Maximum Clocks. Resolution: .75x Audio Driver: Cubeb(required for audio to not glitch out. Game may crash once in a while, so save often.",2025/2/6,Retroid Pocket 5
Tales Of Vesperia,Perfect,Qualcomm 615.65,Citron,1,"Resolution:1X
audio:cubeb",2025/09/02,Retroid Pocket 5
Teenage Mutant Ninja Turtles: Mutants Unleashed,Unplayable,Turnip 24.3.0 9v2,Sudachi,1,Tried with sudachi and citron and combination of drivers. Maybe a preloaded shader cache patch will help. ,2025/4/14,Retroid Pocket 5
Teenage Mutant Ninja Turtles: Shredders Revenge,Unplayable,Turnip 24.3.0 9v2,Eden,1,"No matter the driver, no matter the update, no matter the dlc, this game doesnt boot on Eden.",2025/07/21,Retroid Pocket 5
Teenage Mutant Ninja Turtles: Shredders Revenge,Great,Turnip 25.2.0 R4,Yuzu,1,Main gameplay is perfect but the intro cutscene and audio is stuttery,2024/12/22,Retroid Pocket 5
Teenage Mutant Ninja Turtles: Splintered Fate,Perfect,Turnip 24.3.4-Unified (@Mr_Purple_666),Sudachi,1.9.0,"It works perfectly, between 50-60 FPS",2025/07/24,Retroid Pocket 5
Teenage Mutant Ninja Turtles: Splintered Fate,Playable,Qualcomm 0.746.0,Yuzu,1,gets better as you play,2024/12/14,Retroid Pocket 5
Teenage Mutant Ninja Turtles: Splintered Fate,Playable,Qualcomm 0.746.0,Sudachi,1,(works with R9v2 but seems happier with System),2024/12/14,Retroid Pocket 5
Tennis In The Face,Perfect,Turnip 24.3.0 9v2,Yuzu,1,,2024/12/12,Retroid Pocket 5
Terminal Velocity,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.2.0,"Yuzu 278 (dc529a89a)
Default parameters",2025/1/23,Retroid Pocket 5
Terraria,Perfect,Qualcomm 0.746.0,Citron,4.4.11,"Citron is back in development!
60 FPS
Settings:
Docked 1x Res.
Force Maximum Clocks and Use Asynchronous Shaders On
Everything Else Default.",2025/1/18,Retroid Pocket 5
Terraria,Perfect,Qualcomm 0.746.0,Yuzu,4.4.11,Perfect 60fps docked,2024/12/26,Retroid Pocket 5
Terraria,Playable,Turnip 24.3.0 9v2,Yuzu,1,,2024/12/14,Retroid Pocket 5
Teslagrad,Perfect,Qualcomm 0.746.0,Yuzu,1,,2025/3/16,Retroid Pocket 5
Tetris 99,Unplayable,Turnip 24.3.0 9v2,Suyu,2.1.0,The tetris pieces are invisible.,2024/12/17,Retroid Pocket 5
Tetris Effect,Great,Turnip 24.3.0 9v2,Citron,1,Resolution set to 0.75x. 30-60FPS depending on the current background.,2025/1/29,Retroid Pocket 5
Thank Goodness You're Here!,Perfect,Turnip 24.3.0 9v2,Yuzu,1,,2025/1/5,Retroid Pocket 5
That Time I Got Reincarnated As A Slime Isekai Chronicles,Playable,Default driver,Citron,1.0.3,"Reso: 0.5

High perf

Seldom crashes but just swipe up the emulator and click it again",2025/08/16,Retroid Pocket 5
The Binding Of Isaac: Afterbirth+,Perfect,Turnip 24.3.0 9v2,Sudachi,1,the game runs smoothly no change in drivers since its a ery lightweight game.,2025/2/18,Retroid Pocket 5
The Binding Of Isaac: Repentance,Perfect,Turnip 24.3.0 9v2,Sudachi,1.7.2,Change CPU backend to dynamic to eliminate graphical glitches.,2025/07/16,Retroid Pocket 5
The Binding Of Isaac: Repentance,Great,Turnip 24.3.0 9v2,Citron,1.7.9b,"Disable sync to fix a texture glitch. 55-60 fps on average, wouldn't really notice it without the fps counter.",2025/1/24,Retroid Pocket 5
The Binding Of Isaac: Repentance,Great,Turnip 24.3.0 9v2,Sudachi,1.7.2,The frames do dip slightly at times however it is only ever so slightly slower than the original on switch which also has slowdown during busy moments (rerolling 100s of items etc.),2024/12/16,Retroid Pocket 5
The Binding Of Isaac: Repentance,Great,Qualcomm 819.1,Citron,1,,2025/08/23,Retroid Pocket 5
The Case Of The Golden Idol,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.2,,2024/12/20,Retroid Pocket 5
The Elder Scrolls: Skyrim,Perfect,Qualcomm 0.746.0,Yuzu,1.1.392.3925134,,2025/07/18,Retroid Pocket 5
The Elder Scrolls: Skyrim,Perfect,Qualcomm 0.746.0,Yuzu,1.1.392.3925134,"Tried with Turnip but after some
Gameplay it would exit, found the default gpu driver works fine and so far no exits. ",2025/3/3,Retroid Pocket 5
The Elder Scrolls: Skyrim,Perfect,Qualcomm 0.746.0,Yuzu,1.1.392.3925134,"Tried with Turnip but after some
Gameplay it would exit, found the default gpu driver works fine and so far no exits. ",2025/3/3,Retroid Pocket 5
The Elder Scrolls: Skyrim,Perfect,Turnip 24.3.0 9v2,Sudachi,1,"Default settings, otherwise it crashes, handheld mode, 30fps at start",2024/12/18,Retroid Pocket 5
The Flame In The Flood,Great,Turnip 24.3.0 9v2,Sudachi,1.0.2,,2025/2/19,Retroid Pocket 5
The Hong Kong Massacre,Playable,Qualcomm 0.746.0,Suyu,1,25fps docked,2025/1/8,Retroid Pocket 5
The House In Fata Morgana: Dreams Of The Revenants Edition,Perfect,Turnip 24.3.0 9v2,Yuzu,1,,2024/12/13,Retroid Pocket 5
The House Of The Dead 2: Remake,Perfect,GPU 0.746.0 Qualcomm,Sudachi,1,"Limit Speed toggle off, 1x resolution, disk shader cache on, Force Maximum Clocks on",2025/08/17,Retroid Pocket 5
The House Of The Dead Remake,Unplayable,Turnip 24.3.0 9v2,Sudachi,1.0.1,Game can be started but will crash once the first enemy attacks,2024/12/20,Retroid Pocket 5
The Hundred Line: Last Defense Academy,Great,Mr. Purple T18,Sudachi,1.0.3,"Definitely not perfect but runs at a pretty consistent 30fps.  Crashes do occur, so save often! I tried other drivers, but it _feels_ like there may be better options, although this one is pretty stable overall.",2025/06/10,Retroid Pocket 5
The King of Fighters XIII: Global Match,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.3," 
 	
Runs smooth at 60fps docked",2025/2/21,Retroid Pocket 5
The King of Fighters XIII: Global Match,Perfect,Turnip 24.3.0 9v2,Suyu,1,,2024/12/16,Retroid Pocket 5
The Last Campfire,Perfect,Turnip 24.3.0 9v2,Citron,1,,2025/1/2,Retroid Pocket 5
The Legend Of Heroes: Trails From Zero,Unplayable,Qualcomm 0.746.0,Sudachi,1,"Freezes upon starting a New Game, also freezes occasionally in the options part of the title screen.",2025/5/16,Retroid Pocket 5
The Legend Of Heroes: Trails From Zero,Perfect,Turnip 24.3.0 9v2,Sudachi,1,,2025/07/30,Retroid Pocket 5
The Legend Of Heroes: Trails From Zero,Unplayable,Turnip 25.2.0 R4,Eden,1.4,Runs and starts great but then Constant 0 fps crashes with audio still playing. Ive tried most of the recent drivers,2025/08/05,Retroid Pocket 5
The Legend Of Heroes: Trails To Azure,Unplayable,Turnip 24.3.0 9v2,Sudachi,1.1.17,It gets to menu but freezes soon after hitting new game. No idea if loading a save works. No change in setting or driver solved it.,2024/12/23,Retroid Pocket 5
The Legend Of Heroes: Trials Through Daybreak,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.1,"30FPS gameplay, runs smooth all the way through first battle, some dips to high 20s in cutscenes.",2024/12/15,Retroid Pocket 5
The Legend Of Zelda: Breath Of The Wild,Great,Turnip 24.3.4-Unified (@Mr_Purple_666),Citron,1.6.0,Very stable with the 1.6.0 BOTW update. Hovers around 26-30fps at 1x res and consistently 28-30fps at .75 res.,2025/07/24,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Great,Turnip 24.1.0 R18,Citron,1.6.0,"At 1× resolution I’m getting about 28 FPS with minor drops; at 0.75× it’s around 30 FPS, falling to 28 FPS in heavily loaded scenes. In dungeons there are rendering issues - the image seems to split - but you can still get through.",2025/5/26,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Great,Turnip 23.2.0,Yuzu,1.6.0,"28 - 30 FPS Avg.
Handheld Mode
Graphics:
Resolution - 0.75x (1.0x loses about 5-8 FPS and creates slowdown)
Adapting Filter - Bilinear (AMD FidelityFX loses 2-3 FPS)
Anti-aliasing - FXAA
Disk Shader Cache - On
Force Maximum Clocks - On
Use Asynchronous Shaders - On
",2025/1/16,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Playable,Turnip 24.3.0 9v2,Yuzu,1.14,,2025/1/7,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Great,Turnip 24.0.0-devel R12,Citron,1.6.0 + DLC 1+2,"System - 100% max Speed, Handheld mode

Graphic - 1X, Sync FIFO on, Scaleforce, 25% FSR, AA off, AF 16x, DSC on, Max freq on, ASync Shader on

Audio - cubeb

Debug - ulkan, NCE,  unsafe, CPU Debugging On, Fastmem on

GPU-Driver - Mesa Turnip 24.0.0-devel - R12 + Aggressive mode

not Final, Work in progress, still ghosting in shrines",2025/1/5,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Perfect,Turnip 24.1.0 R17,Yuzu," 
1.6.0","""docked mode
0.75 x
AMD fidelity FX
FXAA
disk shader cache 
force maximum clocks 
use asynchronous shaders on
Shrine &amp; water fixed

works perfectly for me in the Shrine""",2025/1/3,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Perfect,Turnip 24.1.0 R17,Yuzu,1.6.0,"docked mode
1x
AMD fidelity FX
FXAA
disk shader cache 
force maximum clocks 
use asynchronous shaders on
Shrine &amp; water fixed

works perfectly for me in the Shrine",2025/1/3,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Great,Turnip 24.3.0 9v2,Sudachi,1.6,"In shrines, I experienced some data moshing effects and some crashes but that all happened while fiddling with the settings so It needs more testing. Otherwise, the game is basically locked at 30 fps on the great plateau",2024/12/29,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Playable,Turnip 24.3.0 9v2,Yuzu,1.6.0,Crashes after some playing time. Mostly when speak to NPC. I wish some one can help with that. Also some graphical issues inside sanctuarys,2024/12/18,Retroid Pocket 5
The Legend of Zelda: Breath of the Wild,Perfect,Turnip 24.3.0 9v2,Yuzu,1.5.0,"BOTW SETTINGS (getting 25-30fps)

SYSTEM
Limit speed: enabled
Limit speed percent: 100%
Docked mode: disabled
Emulated region: USA
Custom etc: disabled 

GPU
Turnips R9v2

GRAPHICS 
Accuracy level: normal
Resolution: 2x 1440p/2160p) (slow)
Vsync mode: FIFO (on)
Window adapting filter: AMD FidelityFX super resolution 
FSR sharpness: 25%
Anti-aliasing method: FXAA
Anoscopic filtering: default
Aspect ratio: Default (16:9)
Disk shader cache: enabled
Force maximum clocks (Aderno only): enabled
Use asynchronous shaders: enabled
Use reactive flushing: disabled

DEBUG
API: ulkan
CPU: Native code execution (NCE)
CPU accuracy: unsafe
CPU Debugging: Disabled

AUDIO: 
Output engine: cubeb

DLC 3.0
UPDATE 1.5.0",2024/12/14,Retroid Pocket 5
The Legend Of Zelda: Echoes Of Wisdom,Playable,Qualcomm 0.746.0,Citron,1.0.1,"Very playable bordering great using handheld mode, RP5 in Performance, graphics accuracy High, sync Immediate, window adapting filter FSR, disk shader cache/max clocks/async shaders all turned on. The mod ""Remove DOF/BLUR Proper"" (https://gamebanana.com/mods/544570) is a must. 20 FPS in new scenes and when in combat game is semi slow motion. In open world/cutscenes/dungeons 30-45 FPS. Played as far as entering the first rift.",2024/12/31,Retroid Pocket 5
The Legend Of Zelda: Echoes Of Wisdom,Great,GPU 0.746.0 Qualcomm,Sudachi,1.0.2,Needs a mod for the blur and unlocking fps. Some graphical glitches. Run mailbox mandatory for now. Super fun!,2025/07/29,Retroid Pocket 5
The Legend Of Zelda: Echoes Of Wisdom,Unplayable,Turnip 24.3.0 9v2,Yuzu,1.4.0.0,Freezes in the middle of loading the game,2025/08/07,Retroid Pocket 5
The Legend Of Zelda: Skyward Sword HD,Perfect,Qualcomm 0.746.0,Yuzu,1,,2025/1/18,Retroid Pocket 5
The Legend Of Zelda: Skyward Sword HD,Perfect,Turnip 23.3.0-devel,Yuzu,1,"If you have crashing issues, use this driver. Game hasn't dropped below 60fps once yet, and I have completed the first 3 dungeons.",2025/1/15,Retroid Pocket 5
The Legend Of Zelda: Skyward Sword HD,Perfect,Turnip 24.3.0 9v2,Suyu,1.0.1,"Sudachi didn't work, have to use Suyu",2024/12/22,Retroid Pocket 5
The Legend Of Zelda: Tears Of The Kingdom,Great,Qualcomm 0.746.0,Sudachi,1,,2025/2/3,Retroid Pocket 5
